video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category,sentiment
-GyJN1tr9RM,@icutfamily7956,terima kasih sudah berbagi video yang menarik dan sangat menginspirasi salam sehat dan sukses selalu,1,2025-09-12T05:52:10Z,hidroponik,2025,terima kasih sudah berbagi video yang menarik dan sangat menginspirasi salam sehat dan sukses selalu,"terima, kasih, sudah, berbagi, video, yang, menarik, dan, sangat, menginspirasi, salam, sehat, dan, sukses, selalu","terima, kasih, berbagi, video, menarik, menginspirasi, salam, sehat, sukses","terima, kasih, bagi, video, tarik, inspirasi, salam, sehat, sukses",feedback penonton,Positif
5Fv2tGv9_Vo,@jacksimran7044,suami istri yang luar biasa smart menjadi panutan bagi keluarga dan masyarakat indonesia sukses sehat sllu untuk keluarga nya,0,2025-09-02T05:37:09Z,budidaya organik,2025,suami istri yang luar biasa smart menjadi panutan bagi keluarga dan masyarakat indonesia sukses sehat sllu untuk keluarga nya,"suami, istri, yang, luar, biasa, smart, menjadi, panutan, bagi, keluarga, dan, masyarakat, indonesia, sukses, sehat, sllu, untuk, keluarga, nya","suami, istri, smart, panutan, keluarga, masyarakat, indonesia, sukses, sehat, sllu, keluarga, nya","suami, istri, smart, panutan, luarga, masyarakat, indonesia, sukses, sehat, sllu, luarga, ",minat konsumen organik,Positif
-GyJN1tr9RM,@janetaneta9142,bibit bayem ada tak kirm alamatnya,1,2022-07-25T07:33:03Z,hidroponik,2022,bibit bayem ada tak kirm alamatnya,"bibit, bayem, ada, tak, kirm, alamatnya","bibit, bayem, kirm, alamatnya","bibit, bayem, kirm, alamat",kompleksitas perawatan,Negatif
-YlHpqcgOow,@SohibulWafa-u9i,busuk batang pada hst apa yg harus saya lakukan,1,2025-10-08T12:00:48Z,pemupukan,2025,busuk batang pada hst apa yg harus saya lakukan,"busuk, batang, pada, hst, apa, yg, harus, saya, lakukan","busuk, batang, hst, yg, lakukan","busuk, batang, hst, yg, laku",dampak pupuk ke tanaman,Negatif
-YlHpqcgOow,@Pirmansyah-oi4sz,bang ituh bisa buat musim hujan,0,2025-11-23T13:29:11Z,pemupukan,2025,bang ituh bisa buat musim hujan,"bang, ituh, bisa, buat, musim, hujan","bang, ituh, musim, hujan","bang, ituh, musim, hujan",feedback penonton,Netral
-GyJN1tr9RM,@TanLie-qq8uq,ember cat apa masih tersisa bahan cat kimia yg bisa membahayakan kesehatan tubuh sebaiknya untuk tanam yg bisa dimakan diasupkan ke dlm tubuh hrs gunakan ember baru,0,2026-01-02T04:07:42Z,hidroponik,2026,ember cat apa masih tersisa bahan cat kimia yg bisa membahayakan kesehatan tubuh sebaiknya untuk tanam yg bisa dimakan diasupkan ke dlm tubuh hrs gunakan ember baru,"ember, cat, apa, masih, tersisa, bahan, cat, kimia, yg, bisa, membahayakan, kesehatan, tubuh, sebaiknya, untuk, tanam, yg, bisa, dimakan, diasupkan, ke, dlm, tubuh, hrs, gunakan, ember, baru","ember, cat, tersisa, bahan, cat, kimia, yg, membahayakan, kesehatan, tubuh, tanam, yg, dimakan, diasupkan, dlm, tubuh, hrs, ember","ember, cat, sisa, bahan, cat, kimia, yg, bahaya, sehat, tubuh, tanam, yg, makan, asupkan, dlm, tubuh, hrs, ember",kompleksitas perawatan,Positif
bOsToXOFK4A,@HariringAnginPeuting,ga bs download pak,0,2025-05-02T16:04:47Z,pengendalian hama,2025,ga bs download pak,"ga, bs, download, pak","ga, bs, download","ga, bs, download",feedback penonton,Netral
4CTYII_qHCQ,@evacallista9519,saya sudah mulai menanam pohon alpukat nihh pak tapi masih di tahap penyemaian ijin bertanya nihh pak saat dilakukan penyukupan tanaman perlu disiram atau tidak yaa terimakasih pak,1,2022-01-08T08:59:36Z,pemupukan,2022,saya sudah mulai menanam pohon alpukat nihh pak tapi masih di tahap penyemaian ijin bertanya nihh pak saat dilakukan penyukupan tanaman perlu disiram atau tidak yaa terimakasih pak,"saya, sudah, mulai, menanam, pohon, alpukat, nihh, pak, tapi, masih, di, tahap, penyemaian, ijin, bertanya, nihh, pak, saat, dilakukan, penyukupan, tanaman, perlu, disiram, atau, tidak, yaa, terimakasih, pak","menanam, pohon, alpukat, nihh, tahap, penyemaian, ijin, nihh, penyukupan, tanaman, disiram, yaa, terimakasih","tanam, pohon, alpukat, nihh, tahap, semai, ijin, nihh, penyukupan, tanam, siram, yaa, terimakasih",feedback penonton,Positif
5Fv2tGv9_Vo,@JonYufam,luar biasa konsep hidupnya penuh makna dan sahaja,0,2025-09-14T12:37:10Z,budidaya organik,2025,luar biasa konsep hidupnya penuh makna dan sahaja,"luar, biasa, konsep, hidupnya, penuh, makna, dan, sahaja","konsep, hidupnya, penuh, makna, sahaja","konsep, hidup, penuh, makna, sahaja",feedback penonton,Netral
mLdvwruqEpo,@Badminton-ko1fy,luar biasa pak mantap semoga sukses selalu ya,1,2023-05-26T11:42:48Z,hidroponik,2023,luar biasa pak mantap semoga sukses selalu ya,"luar, biasa, pak, mantap, semoga, sukses, selalu, ya","mantap, semoga, sukses, ya","mantap, moga, sukses, ya",feedback penonton,Positif
vvcBT2Fg5IQ,@minarnihono4124,boleh kah saya tau dimana alamat nya di blitar,0,2025-01-16T00:45:20Z,budidaya organik,2025,boleh kah saya tau dimana alamat nya di blitar,"boleh, kah, saya, tau, dimana, alamat, nya, di, blitar","kah, tau, dimana, alamat, nya, blitar","kah, tau, mana, alamat, , blitar",feedback penonton,Negatif
mLdvwruqEpo,@rumahama6925,media ini bisa dipakai nanam strawberry kah bang atau media yg lebih bagus untuk strawberry dan nutrisi merk apa yg terbaik untuk buah strawberry mohon sarannya terimakasih,5,2022-03-13T16:33:30Z,hidroponik,2022,media ini bisa dipakai nanam strawberry kah bang atau media yg lebih bagus untuk strawberry dan nutrisi merk apa yg terbaik untuk buah strawberry mohon sarannya terimakasih,"media, ini, bisa, dipakai, nanam, strawberry, kah, bang, atau, media, yg, lebih, bagus, untuk, strawberry, dan, nutrisi, merk, apa, yg, terbaik, untuk, buah, strawberry, mohon, sarannya, terimakasih","media, dipakai, nanam, strawberry, kah, bang, media, yg, bagus, strawberry, nutrisi, merk, yg, terbaik, buah, strawberry, mohon, sarannya, terimakasih","media, pakai, nanam, strawberry, kah, bang, media, yg, bagus, strawberry, nutrisi, merk, yg, baik, buah, strawberry, mohon, saran, terimakasih",kompleksitas perawatan,Positif
4CTYII_qHCQ,@cy-wi4ce,pk dr sy mau naya ak py buah jambu kristal udah berbunga bayak lama ko bungaya hilng tau pd krng romtok la ak lihat ada putih di bawa daunya ak smprot gk hilang trs bgmn cara mngatasiya pk dr mkdh,0,2022-10-26T07:25:26Z,pemupukan,2022,pk dr sy mau naya ak py buah jambu kristal udah berbunga bayak lama ko bungaya hilng tau pd krng romtok la ak lihat ada putih di bawa daunya ak smprot gk hilang trs bgmn cara mngatasiya pk dr mkdh,"pk, dr, sy, mau, naya, ak, py, buah, jambu, kristal, udah, berbunga, bayak, lama, ko, bungaya, hilng, tau, pd, krng, romtok, la, ak, lihat, ada, putih, di, bawa, daunya, ak, smprot, gk, hilang, trs, bgmn, cara, mngatasiya, pk, dr, mkdh","pk, dr, sy, naya, ak, py, buah, jambu, kristal, udah, berbunga, bayak, ko, bungaya, hilng, tau, pd, krng, romtok, la, ak, lihat, putih, bawa, daunya, ak, smprot, gk, hilang, trs, bgmn, mngatasiya, pk, dr, mkdh","pk, dr, sy, naya, ak, py, buah, jambu, kristal, udah, bunga, bayak, ko, bungaya, hilng, tau, pd, krng, romtok, la, ak, lihat, putih, bawa, dau, ak, smprot, gk, hilang, trs, bgmn, mngatasiya, pk, dr, mkdh",feedback penonton,Negatif
mLdvwruqEpo,@idirapidi325,waalaikumsalam terimakasih atas ilmunya,1,2024-09-08T14:47:26Z,hidroponik,2024,waalaikumsalam terimakasih atas ilmunya,"waalaikumsalam, terimakasih, atas, ilmunya","waalaikumsalam, terimakasih, ilmunya","waalaikumsalam, terimakasih, ilmu",feedback penonton,Positif
-GyJN1tr9RM,@타미씨,belinya ab mix dimana,1,2022-08-02T13:07:37Z,hidroponik,2022,belinya ab mix dimana,"belinya, ab, mix, dimana","belinya, ab, mix, dimana","beli, ab, mix, mana",kompleksitas perawatan,Netral
5Fv2tGv9_Vo,@InnaKarunia01,pupuk kandang dari ayam pakan ayam dari tumbuhan hidup kalau kita gak kemakan gengsi udah bisa walaupun tetep butuh modal dulu ya gak yang tiba punya ayam tiba punya benih tumbuhan penting juga bisa kelola semua itu jelas udah bermodal ilmu kalau males an makhluk hidupnya jadi makhluk mati,0,2025-12-30T04:56:19Z,budidaya organik,2025,pupuk kandang dari ayam pakan ayam dari tumbuhan hidup kalau kita gak kemakan gengsi udah bisa walaupun tetep butuh modal dulu ya gak yang tiba punya ayam tiba punya benih tumbuhan penting juga bisa kelola semua itu jelas udah bermodal ilmu kalau males an makhluk hidupnya jadi makhluk mati,"pupuk, kandang, dari, ayam, pakan, ayam, dari, tumbuhan, hidup, kalau, kita, gak, kemakan, gengsi, udah, bisa, walaupun, tetep, butuh, modal, dulu, ya, gak, yang, tiba, punya, ayam, tiba, punya, benih, tumbuhan, penting, juga, bisa, kelola, semua, itu, jelas, udah, bermodal, ilmu, kalau, males, an, makhluk, hidupnya, jadi, makhluk, mati","pupuk, kandang, ayam, pakan, ayam, tumbuhan, hidup, gak, kemakan, gengsi, udah, tetep, butuh, modal, ya, gak, ayam, benih, tumbuhan, kelola, udah, bermodal, ilmu, males, an, makhluk, hidupnya, makhluk, mati","pupuk, kandang, ayam, pakan, ayam, tumbuh, hidup, gak, makan, gengsi, udah, tetep, butuh, modal, ya, gak, ayam, benih, tumbuh, lola, udah, modal, ilmu, males, an, makhluk, hidup, makhluk, mati",feedback penonton,Negatif
-YlHpqcgOow,@NinikYuliyati-me1tq,katalis pembenah tanah itu apa,0,2024-11-21T15:43:22Z,pemupukan,2024,katalis pembenah tanah itu apa,"katalis, pembenah, tanah, itu, apa","katalis, pembenah, tanah","katalis, benah, tanah",feedback penonton,Netral
QQM9BKY0_K8,@yanikumis7439,alamat om indra tarigan di mana,1,2020-11-14T12:05:07Z,pemupukan,2020,alamat om indra tarigan di mana,"alamat, om, indra, tarigan, di, mana","alamat, om, indra, tarigan","alamat, om, indra, tarigan",feedback penonton,Negatif
28Eo_Xm8LYg,@malvenzul8769,bahas tentang tanaman singkong dong pak dan unsur apa saja yg di butuhkan singkong biar hasil nya maksimal,2,2021-03-31T16:42:31Z,pemupukan,2021,bahas tentang tanaman singkong dong pak dan unsur apa saja yg di butuhkan singkong biar hasil nya maksimal,"bahas, tentang, tanaman, singkong, dong, pak, dan, unsur, apa, saja, yg, di, butuhkan, singkong, biar, hasil, nya, maksimal","bahas, tanaman, singkong, unsur, yg, butuhkan, singkong, biar, hasil, nya, maksimal","bahas, tanam, singkong, unsur, yg, butuh, singkong, biar, hasil, , maksimal",efisiensi penggunaan pupuk,Positif
inF984LZKa0,@SupriYatin-t1f,bisakah ntk tnaman padi ga,0,2025-12-25T11:59:29Z,pemupukan,2025,bisakah ntk tnaman padi ga,"bisakah, ntk, tnaman, padi, ga","ntk, tnaman, padi, ga","ntk, tnaman, padi, ga",feedback penonton,Positif
inF984LZKa0,@EdhyesJca,mkp itu apa bang,0,2025-10-27T01:42:58Z,pemupukan,2025,mkp itu apa bang,"mkp, itu, apa, bang","mkp, bang","mkp, bang",feedback penonton,Netral
-GyJN1tr9RM,@serlymarbun3110,pak klo boleh tanya nutrtisi nya bahanya beli di mn dan namanya apa,0,2022-09-22T09:51:35Z,hidroponik,2022,pak klo boleh tanya nutrtisi nya bahanya beli di mn dan namanya apa,"pak, klo, boleh, tanya, nutrtisi, nya, bahanya, beli, di, mn, dan, namanya, apa","klo, nutrtisi, nya, bahanya, beli, mn, namanya","klo, nutrtisi, , baha, beli, mn, nama",feedback penonton,Positif
-GyJN1tr9RM,@pltskampung,sangat menarik dan bermanfaat info penanaman kangkung,1,2024-05-30T13:07:02Z,hidroponik,2024,sangat menarik dan bermanfaat info penanaman kangkung,"sangat, menarik, dan, bermanfaat, info, penanaman, kangkung","menarik, bermanfaat, info, penanaman, kangkung","tarik, manfaat, info, tanam, kangkung",feedback penonton,Positif
TCRV_d27iG0,@smchanel5618,assalamualaikum pak mau tanya dong pupuk vase vegetatif dan generatif untuk tanaman anggur apa ya,1,2020-12-02T12:47:04Z,pemupukan,2020,assalamualaikum pak mau tanya dong pupuk vase vegetatif dan generatif untuk tanaman anggur apa ya,"assalamualaikum, pak, mau, tanya, dong, pupuk, vase, vegetatif, dan, generatif, untuk, tanaman, anggur, apa, ya","assalamualaikum, pupuk, vase, vegetatif, generatif, tanaman, anggur, ya","assalamualaikum, pupuk, vase, vegetatif, generatif, tanam, anggur, ya",dosis dan waktu pupuk,Positif
5Fv2tGv9_Vo,@muhidinsidiq,ini seperti yg saya inginkan kehidupan idaman banget yg belum tentu semua orang bisa termasuk saya,0,2025-09-09T04:55:21Z,budidaya organik,2025,ini seperti yg saya inginkan kehidupan idaman banget yg belum tentu semua orang bisa termasuk saya,"ini, seperti, yg, saya, inginkan, kehidupan, idaman, banget, yg, belum, tentu, semua, orang, bisa, termasuk, saya","yg, kehidupan, idaman, banget, yg, orang","yg, hidup, idam, banget, yg, orang",feedback penonton,Positif
Xrbn47ZiFYw,@awalanggiawangsyah1054,kalau sya ditmbahin bawang merah putih dan tmbakau rokok,0,2024-02-17T02:12:53Z,pengendalian hama,2024,kalau sya ditmbahin bawang merah putih dan tmbakau rokok,"kalau, sya, ditmbahin, bawang, merah, putih, dan, tmbakau, rokok","sya, ditmbahin, bawang, merah, putih, tmbakau, rokok","sya, tmbahin, bawang, merah, putih, tmbakau, rokok",feedback penonton,Netral
28Eo_Xm8LYg,@aang3846,aplikasi em dicampur gula kemudian disiram ke tanaman berguna tidak,0,2022-05-01T07:59:16Z,pemupukan,2022,aplikasi em dicampur gula kemudian disiram ke tanaman berguna tidak,"aplikasi, em, dicampur, gula, kemudian, disiram, ke, tanaman, berguna, tidak","aplikasi, em, dicampur, gula, disiram, tanaman, berguna","aplikasi, em, campur, gula, siram, tanam, guna",feedback penonton,Positif
5Fv2tGv9_Vo,@iisnurhayati7968,saya pengen kaya gitu tapi saya belum kebeli tanah yang luas masya alloh itu rumah kebun idaman saya,0,2025-09-02T06:21:12Z,budidaya organik,2025,saya pengen kaya gitu tapi saya belum kebeli tanah yang luas masya alloh itu rumah kebun idaman saya,"saya, pengen, kaya, gitu, tapi, saya, belum, kebeli, tanah, yang, luas, masya, alloh, itu, rumah, kebun, idaman, saya","pengen, kaya, gitu, kebeli, tanah, luas, masya, alloh, rumah, kebun, idaman","ken, kaya, gitu, beli, tanah, luas, masya, alloh, rumah, bun, idam",feedback penonton,Positif
-YlHpqcgOow,@lawelujangmovie1525,kang apa bisa di setiap pengocoran di tambah dengan asam humat dan agen hayati,1,2025-04-07T11:09:42Z,pemupukan,2025,kang apa bisa di setiap pengocoran di tambah dengan asam humat dan agen hayati,"kang, apa, bisa, di, setiap, pengocoran, di, tambah, dengan, asam, humat, dan, agen, hayati","kang, pengocoran, asam, humat, agen, hayati","kang, kocor, asam, humat, agen, hayati",feedback penonton,Netral
GO6PuKMedeM,@DandanIndonesia,halo kak videonya bagus dan sangat edukatif kami izin download videonya yaa untuk kami gunakan sebagai visual pembelajaran mengenai hidroponik,1,2024-02-02T06:31:17Z,hidroponik,2024,halo kak videonya bagus dan sangat edukatif kami izin download videonya yaa untuk kami gunakan sebagai visual pembelajaran mengenai hidroponik,"halo, kak, videonya, bagus, dan, sangat, edukatif, kami, izin, download, videonya, yaa, untuk, kami, gunakan, sebagai, visual, pembelajaran, mengenai, hidroponik","halo, kak, videonya, bagus, edukatif, izin, download, videonya, yaa, visual, pembelajaran, hidroponik","halo, kak, video, bagus, edukatif, izin, download, video, yaa, visual, ajar, hidroponik",feedback penonton,Positif
5Fv2tGv9_Vo,@BerasTagi-r7y6m,bener banget mbak dengan berbagi dgn orang yg membutuh kan nya adalah suatu kedamaian kebahagia buat kita pribadi allah kn menambah kn kesehatan kita dan rezky aamin,0,2025-09-02T06:17:30Z,budidaya organik,2025,bener banget mbak dengan berbagi dgn orang yg membutuh kan nya adalah suatu kedamaian kebahagia buat kita pribadi allah kn menambah kn kesehatan kita dan rezky aamin,"bener, banget, mbak, dengan, berbagi, dgn, orang, yg, membutuh, kan, nya, adalah, suatu, kedamaian, kebahagia, buat, kita, pribadi, allah, kn, menambah, kn, kesehatan, kita, dan, rezky, aamin","bener, banget, mbak, berbagi, dgn, orang, yg, membutuh, nya, kedamaian, kebahagia, pribadi, allah, kn, menambah, kn, kesehatan, rezky, aamin","bener, banget, mbak, bagi, dgn, orang, yg, butuh, , damai, bahagia, pribadi, allah, kn, tambah, kn, sehat, rezky, aamin",feedback penonton,Positif
5Fv2tGv9_Vo,@hindunhindun3042,hebat,0,2025-09-02T12:24:24Z,budidaya organik,2025,hebat,hebat,hebat,hebat,feedback penonton,Netral
-GyJN1tr9RM,@SADIKDIN,arang sekam itu apa mas,1,2024-09-09T11:10:06Z,hidroponik,2024,arang sekam itu apa mas,"arang, sekam, itu, apa, mas","arang, sekam, mas","arang, sekam, mas",feedback penonton,Netral
UfbQxFXre5Q,@firdaussyamsir689,karna kesombongan manusia,0,2022-01-15T02:08:57Z,pemupukan,2022,karna kesombongan manusia,"karna, kesombongan, manusia","karna, kesombongan, manusia","karna, sombong, manusia",feedback penonton,Netral
GzdFV_r-SHM,@Nasir1234-u4e,racikan ini ap hanya berlaku utk tanaman di kebun apa bs diaplikasikan pd padi sawah,1,2024-10-05T00:26:02Z,pengendalian hama,2024,racikan ini ap hanya berlaku utk tanaman di kebun apa bs diaplikasikan pd padi sawah,"racikan, ini, ap, hanya, berlaku, utk, tanaman, di, kebun, apa, bs, diaplikasikan, pd, padi, sawah","racikan, ap, berlaku, utk, tanaman, kebun, bs, diaplikasikan, pd, padi, sawah","racik, ap, laku, utk, tanam, bun, bs, aplikasi, pd, padi, sawah",feedback penonton,Positif
DcG3sqwpSa0,@tehteh4222,jeruk purut itu limo ya,0,2021-12-19T02:59:40Z,hidroponik,2021,jeruk purut itu limo ya,"jeruk, purut, itu, limo, ya","jeruk, purut, limo, ya","jeruk, purut, limo, ya",feedback penonton,Netral
JL2VZdA9wuc,@Syaz._ofx,pokok cili boleh ke pak,0,2021-02-14T06:23:56Z,pengendalian hama,2021,pokok cili boleh ke pak,"pokok, cili, boleh, ke, pak","pokok, cili","pokok, cili",feedback penonton,Netral
e0SHDMs4bDk,@hafanaschanel6643,beli pipetnya dimana,0,2023-09-23T09:33:40Z,irigasi,2023,beli pipetnya dimana,"beli, pipetnya, dimana","beli, pipetnya, dimana","beli, pipet, mana",feedback penonton,Netral
JL2VZdA9wuc,@jamiksariroh1857,untuk tanaman cabe yg kena kutu apa juga cocok makasih,0,2022-08-27T06:24:25Z,pengendalian hama,2022,untuk tanaman cabe yg kena kutu apa juga cocok makasih,"untuk, tanaman, cabe, yg, kena, kutu, apa, juga, cocok, makasih","tanaman, cabe, yg, kena, kutu, cocok, makasih","tanam, cabe, yg, na, kutu, cocok, makasih",feedback penonton,Positif
inF984LZKa0,@SudirmanBelibis,apa tidak dikerumi semut itu makanan serangga,0,2025-10-27T02:03:54Z,pemupukan,2025,apa tidak dikerumi semut itu makanan serangga,"apa, tidak, dikerumi, semut, itu, makanan, serangga","dikerumi, semut, makanan, serangga","rum, semut, makan, serangga",feedback penonton,Netral
